frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm
0,0.0,240.0,1.0,False,8.0
1,0.03333333333333333,239.0,1.0,False,7.966666666666667
2,0.06666666666666667,242.0,1.0,False,8.066666666666666
3,0.1,239.0,1.0,False,7.966666666666667
4,0.13333333333333333,242.0,1.0,False,8.066666666666666
5,0.16666666666666666,242.0,1.0,False,8.066666666666666
6,0.2,241.0,1.0,False,8.033333333333333
7,0.23333333333333334,243.0,1.0,False,8.1
8,0.26666666666666666,240.0,1.0,False,8.0
9,0.3,240.0,1.0,False,8.0
10,0.3333333333333333,242.0,1.0,False,8.066666666666666
11,0.36666666666666664,242.0,1.0,False,8.066666666666666
12,0.4,242.0,1.0,False,8.066666666666666
13,0.43333333333333335,240.0,1.0,False,8.0
14,0.4666666666666667,240.0,1.0,False,8.0
15,0.5,242.0,1.0,False,8.066666666666666
16,0.5333333333333333,241.0,1.0,False,8.033333333333333
17,0.5666666666666667,242.0,1.0,False,8.066666666666666
18,0.6,240.0,1.0,False,8.0
19,0.6333333333333333,242.0,1.0,False,8.066666666666666
20,0.6666666666666666,241.0,1.0,False,8.033333333333333
21,0.7,242.0,1.0,False,8.066666666666666
22,0.7333333333333333,241.0,1.0,False,8.033333333333333
23,0.7666666666666666,238.0,1.0,False,7.933333333333334
24,0.8,240.0,1.0,False,8.0
25,0.8333333333333334,243.0,1.0,False,8.1
26,0.8666666666666667,242.0,1.0,False,8.066666666666666
27,0.9,242.0,1.0,False,8.066666666666666
28,0.9333333333333333,241.0,1.0,False,8.033333333333333
29,0.9666666666666667,241.0,1.0,False,8.033333333333333
30,1.0,243.0,1.0,False,8.1
31,1.0333333333333332,241.0,1.0,False,8.033333333333333
32,1.0666666666666667,242.0,1.0,False,8.066666666666666
33,1.1,240.0,1.0,False,8.0
34,1.1333333333333333,239.0,1.0,False,7.966666666666667
35,1.1666666666666667,240.0,1.0,False,8.0
36,1.2,244.0,1.0,False,8.133333333333333
37,1.2333333333333334,240.0,1.0,False,8.0
38,1.2666666666666666,241.0,1.0,False,8.033333333333333
39,1.3,241.0,1.0,False,8.033333333333333
40,1.3333333333333333,240.0,1.0,False,8.0
41,1.3666666666666667,241.0,1.0,False,8.033333333333333
42,1.4,242.0,1.0,False,8.066666666666666
43,1.4333333333333333,241.0,1.0,False,8.033333333333333
44,1.4666666666666666,241.0,1.0,False,8.033333333333333
45,1.5,243.0,1.0,False,8.1
46,1.5333333333333332,243.0,1.0,False,8.1
47,1.5666666666666667,245.0,1.0,False,8.166666666666666
48,1.6,240.0,1.0,False,8.0
49,1.6333333333333333,240.0,1.0,False,8.0
50,1.6666666666666667,239.0,1.0,False,7.966666666666667
51,1.7,242.0,1.0,False,8.066666666666666
52,1.7333333333333334,240.0,1.0,False,8.0
53,1.7666666666666666,241.0,1.0,False,8.033333333333333
54,1.8,242.0,1.0,False,8.066666666666666
55,1.8333333333333333,240.0,1.0,False,8.0
56,1.8666666666666667,241.0,1.0,False,8.033333333333333
57,1.9,243.0,1.0,False,8.1
58,1.9333333333333333,242.0,1.0,False,8.066666666666666
59,1.9666666666666666,238.0,1.0,False,7.933333333333334
60,2.0,241.0,1.0,False,8.033333333333333
61,2.033333333333333,242.0,1.0,False,8.066666666666666
62,2.0666666666666664,241.0,1.0,False,8.033333333333333
63,2.1,240.0,1.0,False,8.0
64,2.1333333333333333,241.0,1.0,False,8.033333333333333
65,2.1666666666666665,241.0,1.0,False,8.033333333333333
66,2.2,242.0,1.0,False,8.066666666666666
67,2.2333333333333334,240.0,1.0,False,8.0
68,2.2666666666666666,241.0,1.0,False,8.033333333333333
69,2.3,244.0,1.0,False,8.133333333333333
70,2.3333333333333335,242.0,1.0,False,8.066666666666666
71,2.3666666666666667,238.0,1.0,False,7.933333333333334
72,2.4,240.0,1.0,False,8.0
73,2.433333333333333,241.0,1.0,False,8.033333333333333
74,2.466666666666667,243.0,1.0,False,8.1
75,2.5,243.0,1.0,False,8.1
76,2.533333333333333,241.0,1.0,False,8.033333333333333
77,2.5666666666666664,240.0,1.0,False,8.0
78,2.6,240.0,1.0,False,8.0
79,2.6333333333333333,240.0,1.0,False,8.0
80,2.6666666666666665,241.0,1.0,False,8.033333333333333
81,2.7,240.0,1.0,False,8.0
82,2.7333333333333334,243.0,1.0,False,8.1
83,2.7666666666666666,242.0,1.0,False,8.066666666666666
84,2.8,241.0,1.0,False,8.033333333333333
85,2.8333333333333335,241.0,1.0,False,8.033333333333333
86,2.8666666666666667,244.0,1.0,False,8.133333333333333
87,2.9,242.0,1.0,False,8.066666666666666
88,2.933333333333333,240.0,1.0,False,8.0
89,2.966666666666667,240.0,1.0,False,8.0
90,3.0,240.0,1.0,False,8.0
91,3.033333333333333,240.0,1.0,False,8.0
92,3.0666666666666664,242.0,1.0,False,8.066666666666666
93,3.1,242.0,1.0,False,8.066666666666666
94,3.1333333333333333,241.0,1.0,False,8.033333333333333
95,3.1666666666666665,239.0,1.0,False,7.966666666666667
96,3.2,241.0,1.0,False,8.033333333333333
97,3.2333333333333334,240.0,1.0,False,8.0
98,3.2666666666666666,243.0,1.0,False,8.1
99,3.3,242.0,1.0,False,8.066666666666666
100,3.3333333333333335,241.0,1.0,False,8.033333333333333
101,3.3666666666666667,241.0,1.0,False,8.033333333333333
102,3.4,240.0,1.0,False,8.0
103,3.433333333333333,242.0,1.0,False,8.066666666666666
104,3.466666666666667,242.0,1.0,False,8.066666666666666
105,3.5,241.0,1.0,False,8.033333333333333
106,3.533333333333333,240.0,1.0,False,8.0
